geo|login|title|name|currency|is_recommended|geo_currency
FI|0depnoafffieurdesk|Bank Transfer|Banktransfer_Payop_Banks|EUR|NO|EUR
FI|0depnoafffieurdesk|Skrill|Skrill_Utorg_Wallet_1DEP//colorlogo|EUR|NO|EUR
FI|0depnoafffieurdesk|CashtoCode|Cashtocode_Cashtocode_Voucher|AUD|NO|EUR
FI|0depnoafffieurdesk|SticPay|Sticpay_Sticpay_Wallet|EUR|NO|EUR
FI|0depnoafffieurdesk|GooglePay|Googlepay_Impaya_Cards_3DEP|EUR|NO|EUR
FI|0depnoafffieurdesk|ApplePay Mastercard|Applepay_Rastpay_Cards_0DEP//aff//mob|EUR|NO|EUR
FI|0depnoafffieurdesk|Skrill|Skrill_Utorg_Wallet_3DEP|EUR|NO|EUR
FI|0depnoafffieurdesk|ApplePay Mastercard|Applepay_Rastpay_Cards_3DEP|EUR|NO|EUR
FI|0depnoafffieurdesk|Googlepay|Googlepay_Rampnow_Cards_3DEP|EUR|NO|EUR
FI|0depnoafffieurdesk|Mifinity|Mifinity_Mifinity_Wallet|EUR|NO|EUR
FI|0depnoafffieurdesk|SKRL|Skrill_Utorg_Wallet_0DEP//greylogo|EUR|NO|EUR
FI|0depnoafffieurdesk|Googlepay|Googlepay_Rampnow_Cards_3DEP//LocalCur|CAD|NO|EUR
FI|0depnoafffieurdesk|Neteller|Neteller_Skrill_Wallet|EUR|NO|EUR
FI|0depnoafffieurdesk|Google Pay|Googlepay_Rastpay_Cards_3DEP//MC|EUR|NO|EUR
FI|0depnoafffieurdesk|Google Pay|Googlepay_Rastpay_Cards_2DEP//MC//new|EUR|NO|EUR
